id,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,quality
489,0.32,0.55,2.8,0.081,35,67,1.0002,7
490,0.39,0.4,2.6,0.073,10,26,0.9984,6
491,0.775,0.27,2.8,0.078,24,56,0.9984,6
492,0.41,0.5,2.5,0.055,12,25,0.9952,7
493,0.4,0.51,2.6,0.052,13,27,0.995,7
494,0.69,0.31,3,0.086,23,81,1.0002,6
495,0.39,0.23,8.3,0.051,28,91,0.9952,6
496,0.35,0.53,2.6,0.07,5,16,0.9972,8
497,0.52,0.25,1.9,0.081,14,38,0.9984,6
498,0.34,0.32,2.5,0.09,43,113,0.9966,5
499,0.35,0.53,2.6,0.07,5,16,0.9972,8
500,0.69,0.31,3,0.086,23,81,1.0002,6
501,0.52,0.25,1.9,0.081,14,38,0.9984,6
502,0.44,0.73,6.55,0.074,38,76,0.999,7
503,0.44,0.73,6.55,0.074,38,76,0.999,7
504,0.26,0.47,1.9,0.078,6,24,0.9976,7
505,0.24,0.42,1.8,0.077,6,22,0.9976,7
506,0.49,0.63,2.9,0.072,10,26,0.9968,7
507,0.24,0.46,1.8,0.075,6,21,0.9976,7
508,0.67,0.55,2.3,0.084,6,13,1,6
509,0.59,0.31,2.2,0.09,26,62,0.9994,6
510,0.29,0.75,2.8,0.084,23,43,0.9986,7
511,0.42,0.49,4.6,0.073,19,43,0.9978,5
512,0.59,0.31,2.2,0.09,26,62,0.9994,6
513,0.4,0.48,2.1,0.125,15,49,0.998,6
514,0.51,0.64,2.4,0.107,6,15,0.9973,7
515,0.51,0.64,2.4,0.107,6,15,0.9973,7
516,0.655,0.49,6.1,0.122,34,151,1.001,5
517,0.6,0.49,4.3,0.1,5,14,1.001,6
518,0.61,0.49,2.1,0.2,5,16,0.9994,3
519,0.21,0.49,2.8,0.088,11,32,0.9972,6
520,0.365,0.49,2.5,0.088,39,106,0.9966,5
521,0.25,0.49,2.7,0.088,15,33,0.9982,6
522,0.41,0.49,2,0.088,16,43,0.998,5
523,0.39,0.49,2.3,0.099,47,133,0.9979,5
524,0.4,0.49,2.5,0.085,38,142,0.9978,5
525,0.43,0.49,2.4,0.086,23,116,0.9976,5
526,0.64,0.24,2.8,0.105,29,53,0.9998,5
527,0.365,0.49,2.5,0.088,39,106,0.9966,5
528,0.38,0.49,2.5,0.097,33,85,0.9962,6
529,0.42,0.49,2.6,0.084,32,55,0.9988,6
530,0.63,0.24,2.4,0.077,6,33,0.9974,5
531,0.22,0.24,2.1,0.078,1,28,0.999,6
532,0.38,0.49,2.7,0.098,12,42,1.0004,5
533,0.38,0.49,2.7,0.098,12,42,1.0004,5
534,0.27,0.24,2.1,0.072,15,33,0.9956,6
535,0.48,0.24,2.7,0.102,13,32,1,6
536,0.22,0.24,2.1,0.078,1,28,0.999,6
537,0.63,0.24,2.4,0.077,6,33,0.9974,5
538,0.825,0.24,2.1,0.084,5,13,0.9972,6
539,0.35,0.49,5.8,0.066,5,35,1.0014,7
540,0.5,0.74,5.15,0.1,5,17,0.9996,5
541,0.59,0.24,3.3,0.101,20,47,0.9988,5
542,0.46,0.49,6.3,0.064,5,17,0.9988,6
543,0.715,0.24,2.1,0.07,5,20,0.9966,5
544,0.66,0.24,2.5,0.085,16,53,0.9993,6
545,0.31,0.74,1.8,0.075,6,15,1.0008,6
546,0.47,0.49,2.6,0.094,38,106,0.9982,5
547,0.55,0.24,2,0.078,10,28,0.9983,6
548,0.31,0.49,2.5,0.067,6,21,0.9987,6
549,0.35,0.49,2.6,0.079,27,69,0.9994,6
550,0.53,0.49,1.9,0.171,6,25,0.9975,6
551,0.51,0.01,2.1,0.074,9,25,0.9958,6
552,0.43,0.24,2.8,0.092,14,45,0.998,6
553,0.46,0.24,2.7,0.092,14,44,0.998,6
554,1.04,0.24,1.6,0.05,32,96,0.9934,5
555,0.645,0.49,4.2,0.095,10,23,1.00315,5
556,0.645,0.49,4.2,0.095,10,23,1.00315,5
557,0.53,0.49,4.6,0.118,10,17,1.0002,6
558,0.645,0.49,4.2,0.095,10,23,1.00315,5
559,0.53,0.49,4.6,0.118,10,17,1.0002,6
560,0.47,0.49,4.3,0.085,6,47,1.0021,6
561,0.6,0.49,2.8,0.075,5,19,0.9994,5
562,0.44,0.49,2.4,0.078,26,121,0.9978,5
563,0.54,0.49,2.9,0.094,41,110,0.9982,5
564,0.29,0.49,2.7,0.092,25,60,0.9971,6
565,0.47,0.49,4.3,0.085,6,47,1.0021,6
566,0.6,0.49,2.8,0.075,5,19,0.9994,5
567,0.7,0.24,2.5,0.226,5,15,0.9991,6
568,0.7,0.24,2.5,0.226,5,15,0.9991,6
569,0.5,0.49,2.6,0.25,5,20,0.999,6
570,0.36,0.24,2.2,0.095,19,42,0.9946,6
571,0.35,0.49,3.3,0.07,10,37,1.0003,6
572,0.36,0.24,2.2,0.095,19,42,0.9946,6
573,0.24,0.49,2.4,0.075,10,28,0.9978,5
574,0.59,0.49,2.1,0.07,14,47,0.9991,4
575,0.34,0.49,3.2,0.078,20,78,0.9992,6
576,0.27,0.49,3.1,0.079,28,46,0.9993,6
577,0.5,0.24,2.3,0.103,6,14,0.9978,4
578,0.44,0.49,2.8,0.083,18,111,0.9982,5
579,0.47,0.49,2.9,0.085,17,110,0.9982,5
580,0.31,0.49,2.2,0.063,18,40,0.9976,6
581,0.5,0.49,2.2,0.089,5,14,1.0002,5
582,0.5,0.49,2.2,0.089,5,14,1.0002,5
583,0.49,0.49,2.2,0.083,5,15,1,5
584,0.28,0.49,1.9,0.074,10,21,0.9976,7
585,0.33,0.49,3.4,0.093,54,80,1.0002,7
586,0.51,0.24,2.4,0.091,8,38,0.998,6
587,0.31,0.49,2.7,0.094,16,47,0.9986,7
588,0.73,0.24,1.9,0.108,18,102,0.9967,5
589,0.42,0.24,2,0.06,19,50,0.9917,8
590,0.29,0.49,2.6,0.059,5,13,0.9976,7
591,0.45,0.49,2.6,0.084,21,75,0.9987,5
592,0.39,0.49,1.7,0.07,23,149,0.9922,6
593,0.45,0.49,2.6,0.084,21,75,0.9987,5
594,0.49,0.58,3.5,0.094,9,43,1.0004,5
595,0.72,0.17,2.6,0.096,20,38,0.9978,5
596,0.595,0.41,7.9,0.086,30,109,0.9998,5
597,0.4,0.51,2,0.059,6,24,0.9994,6
598,0.58,0.58,1.9,0.071,5,18,0.998,6
599,0.585,0.18,2.1,0.078,5,30,0.9967,6
600,0.59,0.45,2.3,0.082,11,22,1,6
601,0.915,0.27,2.1,0.088,7,23,0.9962,4
602,0.46,0.52,2.2,0.071,12,35,1.0006,6
603,0.835,0,2.6,0.081,6,14,0.9975,5
604,0.46,0.52,2.2,0.071,12,35,1.0006,6
605,0.58,0.13,2.9,0.096,14,63,0.9984,6
606,0.6,0.13,2.6,0.085,6,24,0.9984,6
607,0.41,0.48,4.6,0.072,10,20,0.9973,7
608,0.48,0.41,3.3,0.092,26,52,0.9982,6
609,0.65,0.37,5.1,0.11,11,65,1.0026,6
610,0.36,0.19,3.2,0.075,15,39,0.9956,6
611,0.24,0.54,2.5,0.083,25,57,0.9983,5
612,0.38,0.55,2.7,0.081,5,16,1.0006,5
613,0.64,0,2.4,0.077,18,29,0.9965,6
614,0.39,0.38,1.5,0.058,10,29,0.9962,5
615,0.755,0.18,2.2,0.148,10,103,0.9969,6
616,0.6,0.5,2.3,0.079,28,71,0.9997,5
617,0.6,0.5,2.3,0.079,28,71,0.9997,5
618,0.31,0.51,2.2,0.079,14,28,0.9982,6
619,0.46,0.5,2.7,0.122,4,17,1.0006,5
620,0.37,0.41,2.3,0.088,6,16,0.9988,5
621,0.54,0.24,3.4,0.076,16,112,0.9976,5
622,0.56,0.23,3.4,0.078,14,104,0.9976,5
623,0.58,0.22,1.9,0.08,9,32,0.9974,5
624,0.51,0.25,2.9,0.077,21,45,0.9974,6
625,0.69,0,5.6,0.124,21,58,0.9997,5
626,0.69,0,5.6,0.124,21,58,0.9997,5
627,0.6,0.29,2.2,0.098,5,15,0.9988,5
628,0.6,0.29,2.2,0.098,5,15,0.9988,5
629,0.54,0.26,2.5,0.097,7,31,0.9976,6
630,0.685,0.23,2.3,0.111,20,84,0.9964,5
631,0.54,0.26,2.5,0.097,7,31,0.9976,6
632,0.28,0.54,2.7,0.105,5,19,0.9988,5
633,0.41,0.14,3,0.087,21,43,0.9964,6
634,0.935,0.22,3.4,0.105,11,86,1.001,4
635,0.35,0.21,1.9,0.073,46,102,0.9964,5
636,0.84,0,1.4,0.065,24,33,0.9954,5
637,0.88,0.28,2.4,0.086,30,147,0.9979,5
638,0.885,0.27,2.3,0.084,31,145,0.9978,5
639,0.915,0.12,2.2,0.143,7,23,0.9964,7
640,0.29,0.35,1.9,0.067,25,57,0.997,6
641,0.54,0.45,2.3,0.071,16,40,0.9991,5
642,0.59,0.44,2.3,0.071,21,68,0.9992,5
643,0.54,0.45,2.3,0.071,16,40,0.9991,5
644,0.59,0.44,2.3,0.071,21,68,0.9992,5
645,0.54,0.45,2.3,0.071,16,40,0.9991,5
646,0.64,0.1,6,0.115,5,11,0.9984,7
647,0.67,0.05,3.6,0.107,6,20,0.9972,5
648,0.845,0.01,2.2,0.07,5,14,0.9967,4
649,0.48,0.3,2.8,0.066,10,28,0.9964,7
650,0.42,0.27,8.6,0.068,24,148,0.9948,6
651,0.43,0.39,2.2,0.106,8,32,0.9986,5
652,0.88,0.25,2.5,0.104,35,155,1.001,5
653,0.36,0.65,7.5,0.096,22,71,0.9976,5
654,0.33,0.59,2.8,0.079,9,30,0.9976,6
655,0.47,0.47,2.4,0.074,7,29,0.9979,5
656,0.55,0.17,2.9,0.087,20,53,1.0004,5
657,0.43,0.39,2.2,0.106,8,32,0.9986,5
658,0.5,0.59,1.4,0.073,23,42,0.998,7
659,0.52,0.07,1.4,0.074,5,20,0.9973,6
660,0.84,0.02,4.4,0.096,5,13,0.997,4
661,0.52,0.07,1.4,0.074,5,20,0.9973,6
662,0.42,0.31,1.6,0.08,15,42,0.9978,5
663,0.57,0.06,1.6,0.076,9,27,0.9972,6
664,0.28,0.46,1.8,0.05,5,13,0.9974,6
665,0.4,0.52,2,0.092,15,54,1,5
666,0.59,0.14,2,0.084,25,48,0.9981,5
667,0.49,0.36,1.8,0.222,6,16,0.998,6
668,0.34,0.45,2,0.082,6,15,0.9988,6
669,0.73,0.43,2.3,0.059,15,31,0.9966,5
670,0.34,0.45,2,0.082,6,15,0.9988,6
671,0.4,0.24,2.5,0.083,30,45,0.9959,5
672,0.73,0.21,1.7,0.074,5,13,0.9968,5
673,1.24,0.34,2,0.079,32,151,0.998,5
674,0.73,0.21,1.7,0.074,5,13,0.9968,5
675,0.4,0.41,2.2,0.084,7,17,0.9984,6
676,0.41,0.39,2.2,0.064,12,31,0.9984,5
677,0.4,0.41,2.2,0.084,7,17,0.9984,6
678,0.8,0.11,2.3,0.084,12,31,0.9979,5
679,0.78,0.1,2.6,0.081,45,87,0.9983,5
680,0.26,0.45,3.3,0.06,20,49,0.9972,5
681,0.43,0.58,1.9,0.07,15,40,1.0004,5
682,0.45,0.23,2.2,0.094,16,29,0.9962,6
683,0.46,0.31,2.25,0.078,32,58,0.998,5
684,0.78,0.23,2.6,0.059,5,15,0.997,5
685,0.98,0.32,2.3,0.078,35,152,0.998,5
686,0.78,0.23,2.6,0.059,5,15,0.997,5
687,0.65,0.18,1.8,0.07,13,40,0.997,5
688,0.64,0.23,3.1,0.095,13,38,0.9998,5
689,0.66,0.04,1.6,0.039,4,9,0.9962,5
690,0.38,0.48,1.8,0.157,5,17,0.9976,5
691,1.185,0,4.25,0.097,5,14,0.9966,3
692,0.92,0.24,2.6,0.087,12,93,0.9998,5
693,0.49,0.51,2,0.422,16,62,0.9979,5
694,0.48,0.32,2.8,0.084,21,122,0.9984,5
695,0.47,0.31,2.7,0.084,24,125,0.9984,5
696,0.47,0.02,1.3,0.034,18,44,0.9921,6
697,0.65,0.02,2.1,0.066,8,25,0.9972,6
698,0.65,0.02,2.1,0.066,8,25,0.9972,6
699,0.615,0.28,3.2,0.087,18,72,1.0001,5
700,0.38,0.55,2.1,0.071,5,19,0.9986,6
701,1.02,0.43,2.9,0.076,26,88,0.9984,6
702,0.65,0.02,2.1,0.066,8,25,0.9972,6
703,0.64,0.02,2.1,0.067,9,23,0.997,6
704,0.38,0.48,2.6,0.073,22,84,0.9972,4
705,0.765,0.04,1.6,0.078,4,14,0.998,4
706,1.035,0.15,6,0.073,11,54,0.999,5
707,0.78,0.08,2,0.093,10,19,0.9956,5
708,0.49,0.19,3,0.077,16,37,0.9966,5
709,0.545,0.12,2.5,0.068,11,35,0.996,6
710,0.31,0.47,1.6,0.062,13,33,0.9983,6
711,1.025,0.43,2.8,0.08,21,84,0.9985,5
712,0.565,0.34,3,0.093,16,112,0.9998,5
713,0.69,0,3.2,0.084,13,33,0.9992,5
714,0.43,0.36,2.3,0.075,10,48,0.9976,5
715,0.74,0.28,2.6,0.078,21,77,0.998,5
716,0.49,0.18,2.7,0.069,13,34,0.9967,6
717,0.43,0.36,2.3,0.075,10,48,0.9976,5
718,0.46,0.11,2.6,0.079,12,49,0.9968,5
719,0.56,0.04,2,0.082,10,22,0.9976,5
720,0.66,0,3.9,0.086,17,45,0.9976,5
721,0.56,0.04,2,0.082,10,22,0.9976,5
722,0.48,0.24,2.85,0.094,35,106,0.9982,5
723,0.42,0.08,2.7,0.084,15,48,0.9968,5
724,0.31,0.3,2.2,0.053,36,127,0.9965,5
725,1.115,0.1,3.1,0.086,5,12,0.9958,4
726,0.66,0.17,3,0.077,5,13,0.9976,5
727,0.72,0.09,2.8,0.084,18,49,0.9994,6
728,0.57,0.02,1.8,0.067,4,11,0.997,5
729,0.57,0.02,1.8,0.067,4,11,0.997,5
730,0.865,0.03,3.2,0.071,27,58,0.995,6
731,0.55,0.66,2.3,0.387,12,37,0.9982,5
732,0.875,0.13,3.45,0.088,4,14,0.9994,5
733,0.835,0.03,2.1,0.092,10,19,0.9966,5
734,0.45,0.34,2.7,0.082,16,72,0.998,5
735,0.56,0.2,2,0.075,9,39,0.9987,5
736,0.965,0.1,2.1,0.112,11,22,0.9963,5
737,0.965,0.1,2.1,0.112,11,22,0.9963,5
738,0.59,0,2.5,0.093,19,58,1.0002,6
739,0.46,0.23,2.8,0.092,28,104,0.9983,5
740,0.69,0,2.4,0.088,19,38,0.999,5
741,0.76,0.29,4.2,0.075,12,16,0.9965,6
742,0.53,0.24,2.6,0.078,28,139,0.99788,5
743,0.615,0,1.9,0.065,9,18,0.9972,5
744,0.41,0.58,2.8,0.096,25,101,1.00024,5
745,0.39,0.54,2.7,0.095,21,101,1.0001,5
746,0.51,0.18,2.1,0.07,12,28,0.99768,6
747,0.34,0.38,2.5,0.08,12,57,0.9978,6
748,0.33,0.4,2.6,0.083,16,68,0.99782,5
749,0.5,0.18,2.1,0.071,12,31,0.99761,6
750,0.51,0.18,2.1,0.07,12,28,0.99768,6
751,0.65,0.1,2.9,0.089,17,40,0.99803,5
752,0.65,0.1,2.9,0.089,17,40,0.99803,5
753,0.54,0.13,2.5,0.097,24,66,0.99785,5
754,0.65,0.1,2.9,0.089,17,40,0.99803,5
755,0.48,0.68,1.7,0.415,14,32,0.99656,6
756,0.91,0.07,1.9,0.058,22,47,0.99525,6
757,0.98,0.01,2,0.057,15,33,0.99488,6
758,0.87,0,2.2,0.084,10,31,0.99656,5
759,0.87,0,2.2,0.084,10,31,0.99656,5
760,0.42,0.21,2.5,0.092,33,88,0.99823,5
761,0.58,0.25,2.8,0.075,9,104,0.99779,5
762,0.655,0.26,2,0.096,5,35,0.99738,5
763,0.7,0,1.7,0.069,8,19,0.99701,6
764,0.655,0.26,2,0.096,5,35,0.99738,5
765,0.68,0.11,2.8,0.093,11,44,0.99888,6
766,0.67,0.1,3,0.091,12,48,0.99888,6
767,0.59,0.18,2.9,0.089,12,74,0.99738,5
768,0.6,0.32,2.7,0.103,13,98,0.99938,5
769,0.59,0.02,2.3,0.082,24,94,0.99744,6
770,0.72,0.01,1.9,0.076,7,32,0.99668,5
771,0.59,0.02,2.3,0.082,24,94,0.99744,6
772,0.685,0.26,2.4,0.082,23,143,0.9978,5
773,0.57,0.27,2.3,0.082,23,144,0.99782,5
774,0.4,0.29,1.8,0.157,1,44,0.9973,6
775,0.4,0.3,1.8,0.157,2,45,0.99727,6
776,1,0,3,0.102,7,16,0.99586,5
777,0.765,0.18,2.4,0.243,6,48,0.99612,6
778,0.635,0.17,2.4,0.241,6,18,0.9961,6
779,0.43,0.3,3.4,0.079,7,34,0.99788,5
780,0.52,0.03,2.6,0.076,21,92,0.99745,5
781,0.57,0,2,0.19,12,45,0.99676,6
782,0.46,0.14,2.4,0.114,9,37,0.99732,5
783,0.82,0.05,2.4,0.081,26,96,0.99814,5
784,0.46,0.14,2.4,0.114,9,37,0.99732,5
785,0.59,0.01,2.5,0.077,20,85,0.99746,5
786,0.35,0.41,2.3,0.083,11,61,0.9982,5
787,0.35,0.41,2.3,0.083,11,61,0.9982,5
788,0.56,0.24,2.2,0.079,19,58,0.9991,6
789,0.56,0.24,2.2,0.079,19,58,0.9991,6
790,0.63,0.17,2.9,0.099,21,119,0.998,5
791,0.37,0.43,2.6,0.082,18,82,0.99708,6
792,0.64,0.17,2.9,0.084,25,130,0.99818,5
793,0.61,0.02,2.5,0.081,17,87,0.99745,6
794,0.6,0,2.6,0.055,7,13,0.99639,5
795,0.27,0.54,2.3,0.065,7,26,0.99531,6
796,0.89,0.3,2.6,0.132,7,60,0.99786,5
797,0.46,0.31,2.5,0.126,24,64,0.99746,5
798,0.37,0.44,1.6,0.038,21,42,0.99526,7
799,0.5,0.34,3.6,0.082,5,14,0.9987,6
800,0.5,0.34,3.6,0.082,5,14,0.9987,6
801,0.61,0.08,4,0.082,26,108,0.99641,5
802,0.55,0.09,3.3,0.068,8,17,0.99735,5
803,0.585,0,1.7,0.044,14,86,0.99264,7
804,0.56,0.08,2.5,0.114,14,46,0.9971,6
805,0.52,0.22,2.7,0.084,4,18,0.99682,6
806,0.28,0.4,2.4,0.052,4,10,0.99356,7
807,0.25,0.39,2,0.041,4,10,0.99386,7
808,0.28,0.4,2.4,0.052,4,10,0.99356,7
809,0.53,0.12,1.9,0.165,4,12,0.99702,5
810,0.48,0.31,2.8,0.07,4,15,0.99693,6
811,0.49,0.1,2.6,0.068,4,14,0.99562,5
812,0.5,0.55,2.8,0.072,7,24,1.00012,6
813,0.45,0.33,2.5,0.099,20,38,0.99818,5
814,0.39,0.24,2.1,0.102,4,7,0.99462,4
815,0.41,0.54,2.8,0.103,19,41,0.99939,6
816,0.45,0.33,2.5,0.099,20,38,0.99818,5
817,0.51,0.19,3.2,0.081,8,30,0.9984,6
818,0.29,0.42,1.6,0.084,19,27,0.99545,6
819,0.715,0,2.35,0.071,21,47,0.99632,5
820,0.66,0.15,3.2,0.097,9,59,0.99976,5
821,0.685,0,1.9,0.099,9,22,0.99606,5
822,0.42,0,2.1,0.048,16,42,0.99154,7
823,0.54,0.13,2,0.076,15,36,0.9973,5
824,0.54,0.13,2,0.076,15,36,0.9973,5
825,0.48,0.28,2.8,0.068,6,16,0.99682,5
826,0.46,0.14,2.8,0.076,15,37,0.99624,5
827,0.27,0.34,2.3,0.05,4,8,0.9951,7
828,0.46,0.14,2.8,0.076,15,37,0.99624,5
829,0.57,0.09,2.3,0.065,34,45,0.99417,8
830,0.61,0.08,2.1,0.071,16,24,0.99376,6
831,0.685,0.07,2.5,0.058,5,9,0.99632,4
832,0.61,0.08,2.1,0.071,16,24,0.99376,6
833,0.44,0.42,1.5,0.145,34,48,0.99832,3
834,0.47,0.44,1.6,0.147,36,51,0.99836,4
835,0.685,0.26,1.6,0.088,16,23,0.99694,5
836,0.665,0.1,1.5,0.066,27,55,0.99655,5
837,0.28,0.28,2.4,0.012,36,100,0.99064,7
838,0.28,0.28,2.4,0.012,36,100,0.99064,7
839,0.31,0.35,1.6,0.075,9,28,0.99672,7
840,0.5,0.04,2.2,0.092,13,26,0.99647,5
841,0.42,0.47,2.65,0.085,9,34,0.99736,7
842,0.66,0,3,0.115,21,31,0.99629,5
843,0.5,0.45,2.6,0.119,34,68,0.99708,6
844,0.685,0.35,2,0.088,9,92,0.9963,5
845,0.25,0.46,1.7,0.062,26,42,0.9959,6
846,0.64,0.21,1.8,0.081,14,31,0.99689,5
847,0.64,0.21,1.8,0.081,14,31,0.99689,5
848,0.68,0.16,1.8,0.078,12,39,0.9977,6
849,0.64,0.21,1.8,0.081,14,31,0.99689,5
850,0.63,0.21,1.6,0.08,12,32,0.99689,5
851,0.43,0.44,1.9,0.085,9,22,0.99708,5
852,0.43,0.44,1.9,0.085,9,22,0.99708,5
853,0.42,0.32,2.5,0.08,26,122,0.99801,5
854,0.36,0.39,1.5,0.08,41,55,0.99652,6
855,0.36,0.39,1.5,0.08,41,55,0.99652,6
856,0.735,0.02,2.5,0.071,10,14,0.99538,7
857,0.36,0.39,1.5,0.08,41,55,0.99652,6
858,0.26,0.34,2.5,0.073,16,47,0.99594,7
859,0.28,0.47,1.7,0.054,17,32,0.99686,7
860,0.56,0.22,1.8,0.074,15,24,0.99438,6
861,0.62,0.06,2.7,0.077,15,85,0.99746,5
862,1.01,0.66,2,0.039,15,88,0.99357,6
863,0.42,0.32,2.7,0.067,7,25,0.99628,5
864,0.62,0.06,2.5,0.078,17,84,0.99746,5
865,0.62,0.06,2.7,0.077,15,85,0.99746,5
866,0.635,0.07,2.6,0.077,16,86,0.99748,5
867,0.49,0.22,2.3,0.071,13,24,0.99438,6
868,0.51,0.23,2,0.072,13,22,0.99438,6
869,0.56,0.22,1.8,0.074,15,24,0.99438,6
870,0.63,0.03,2,0.08,27,43,0.99578,6
871,0.715,0.01,2.1,0.064,31,43,0.99371,6
872,0.56,0.03,1.5,0.086,36,46,0.99522,5
873,0.35,0.24,2,0.067,28,48,0.99576,4
874,0.21,0.37,1.6,0.067,6,10,0.99552,7
875,0.38,0.46,2.1,0.104,6,10,0.99664,7
876,0.31,0.4,2.8,0.109,7,16,0.99614,7
877,0.47,0,2.2,0.067,7,14,0.99517,4
878,0.715,0.01,2.1,0.064,31,43,0.99371,6
879,0.61,0.19,4,0.094,30,69,0.99787,6
880,0.6,0.04,2.5,0.076,18,88,0.99745,5
881,0.56,0.18,1.6,0.078,10,21,0.99576,5
882,0.715,0,2.1,0.068,30,35,0.99533,6
883,0.31,0.29,3.1,0.194,14,26,0.99536,6
884,0.6,0.04,2.5,0.076,18,88,0.99745,5
885,0.61,0.19,4,0.094,30,69,0.99787,6
886,0.75,0.14,2.5,0.086,9,30,0.99824,5
887,0.8,0.12,2.4,0.083,8,28,0.99836,6
888,0.52,0.38,2.6,0.066,29,56,0.99577,7
889,0.57,0,2.5,0.072,32,64,0.99491,6
890,0.9,0.34,6.6,0.112,23,99,1.00289,5
891,0.34,0.24,2,0.071,30,52,0.99576,5
892,0.66,0.03,2.3,0.078,16,86,0.99743,5
893,0.45,0.23,1.9,0.082,10,18,0.99774,6
894,0.66,0.03,2.3,0.078,16,86,0.99743,5
895,0.63,0.03,2.2,0.08,17,88,0.99745,6
896,0.59,0.01,2.3,0.08,27,43,0.9955,6
897,0.31,0.39,2.4,0.078,17,43,0.99444,7
898,0.59,0.01,2.3,0.08,27,43,0.9955,6
899,0.31,0.39,2.4,0.078,17,43,0.99444,7
900,1.02,0.02,3.4,0.084,6,11,0.99892,3
901,0.31,0.36,2.6,0.056,10,39,0.99562,5
902,0.635,0.1,2.4,0.08,16,33,0.99736,7
903,0.635,0.1,2.4,0.08,16,33,0.99736,7
904,0.59,0.06,6,0.06,11,18,0.9962,7
905,0.59,0.06,6,0.06,11,18,0.9962,7
906,0.58,0.2,3,0.081,15,115,0.998,5
907,0.54,0.27,2.6,0.084,12,78,0.9964,5
908,0.56,0,2.2,0.079,6,9,0.9948,6
909,0.52,0.13,2.4,0.078,34,61,0.99528,6
910,0.305,0.39,1.2,0.059,7,11,0.99331,6
911,0.38,0.48,3.8,0.132,3,11,0.99577,6
912,0.28,0.46,9,0.114,3,9,0.99901,6
913,0.46,0.44,2.9,0.065,4,8,0.99674,6
914,0.395,0.46,4.6,0.094,3,10,0.99639,7
915,0.305,0.39,1.2,0.059,7,11,0.99331,6
916,0.315,0.4,2.2,0.079,3,6,0.99512,6
917,0.715,0.19,1.5,0.161,7,62,0.99395,5
918,0.41,0.31,8.8,0.084,26,45,0.99824,6
919,0.36,0.32,2.2,0.081,32,79,0.9964,6
920,0.62,0.12,1.8,0.072,38,46,0.99504,6
921,0.41,0.37,2.3,0.091,10,23,0.99786,5
922,0.36,0.32,2.2,0.081,32,79,0.9964,6
923,0.62,0.12,1.8,0.072,38,46,0.99504,6
924,0.41,0.31,8.8,0.084,26,45,0.99824,6
925,0.47,0.27,2.3,0.055,14,28,0.99516,5
926,0.22,0.36,1.9,0.064,53,77,0.99604,7
927,0.24,0.33,2.3,0.061,52,73,0.99786,6
928,0.67,0.19,2.2,0.093,11,75,0.99736,4
929,0.47,0.27,2.3,0.055,14,28,0.99516,5
930,0.33,0.38,3.3,0.063,10,19,0.99468,7
931,0.61,0.01,1.9,0.08,8,25,0.99746,5
932,0.61,0.01,2,0.074,13,38,0.99748,5
933,0.4,0.29,1.9,0.078,29,66,0.9971,6
934,0.61,0.01,2,0.074,13,38,0.99748,5
935,0.61,0.01,1.9,0.08,8,25,0.99746,5
936,0.3,0.38,2.3,0.06,19,72,0.99543,6
937,0.3,0.38,2.3,0.06,19,72,0.99543,6
938,0.63,0.5,1.4,0.071,6,26,0.99791,4
939,0.38,0.38,2.8,0.068,23,42,0.99356,7
940,0.46,0.17,1.6,0.073,7,11,0.99425,5
941,0.33,0.52,2.2,0.074,13,25,0.99509,7
942,0.27,0.49,5,0.082,9,17,0.99484,7
943,0.43,0.4,2.6,0.092,13,52,0.99834,7
944,0.5,0.34,2.3,0.094,10,45,0.99864,7
945,0.3,0.49,3.8,0.09,11,24,0.99498,7
946,0.44,0.42,2,0.071,7,20,0.99566,7
947,0.44,0.58,4.1,0.092,11,24,0.99745,7
948,0.28,0.48,2.1,0.093,6,12,0.99408,7
949,0.12,0.45,1.8,0.075,10,21,0.99552,7
950,0.12,0.45,1.8,0.075,10,21,0.99552,7
951,0.12,0.45,1.8,0.075,10,21,0.99552,7
952,0.28,0.48,2.1,0.093,6,12,0.99408,7
953,0.31,0.4,2.2,0.058,6,10,0.99536,7
954,0.34,0.48,2.1,0.052,5,9,0.99458,7
955,0.43,0.4,2.7,0.082,6,11,0.99538,6
956,0.21,0.52,1.9,0.09,9,23,0.99648,5
957,0.36,0.52,2.1,0.111,5,10,0.99568,6
958,0.37,0.52,2,0.088,12,51,0.99613,6
959,0.57,0.12,2.3,0.12,25,36,0.99519,7
960,0.59,0.05,2,0.089,12,32,0.99735,5
961,0.47,0.27,1.9,0.058,18,38,0.99518,6
962,0.56,0.14,1.6,0.078,7,18,0.99592,5
963,0.57,0.02,2.1,0.115,6,16,0.99654,5
964,0.27,0.39,2,0.1,20,27,0.99546,6
965,0.47,0.27,1.9,0.058,18,38,0.99518,6
966,0.34,0.4,2.4,0.065,24,48,0.99554,6
967,0.38,0.41,2.4,0.103,6,10,0.99604,7
968,0.66,0.2,2.1,0.097,23,113,0.99733,5
969,0.4,0.43,2.4,0.068,29,46,0.9943,6
970,0.56,0.09,2.9,0.079,7,22,0.99669,5
971,0.26,0.48,1.9,0.066,6,10,0.99724,6
972,0.26,0.48,1.9,0.066,6,10,0.99724,6
973,0.38,0.5,2.4,0.104,6,13,0.99643,7
974,0.34,0.44,1.7,0.079,6,12,0.99605,5
975,0.33,0.41,5.9,0.073,7,13,0.99658,7
976,0.41,0.3,2.1,0.083,35,72,0.997,5
