id,pH,sulphates,alcohol
1016,3.06,0.84,11.4
1017,3.27,0.75,12.6
1018,2.89,0.44,12.7
1019,2.89,0.44,12.7
1020,3.53,0.61,10.4
1021,3.2,0.53,11.9
1022,3.2,0.53,11.9
1023,3.35,0.54,10.5
1024,3.27,0.55,12.3
1025,3.32,0.56,10.5
1026,3.33,0.6,10.4
1027,3.41,0.56,12.6
1028,3.49,0.52,11.6
1029,3.37,0.54,10.1
1030,3.32,0.56,10.5
1031,3.42,0.55,11.5
1032,3.35,0.58,11
1033,3.36,0.53,9.6
1034,3.3,0.59,10.4
1035,3.2,0.47,9.7
1036,3.17,0.65,10.6
1037,3.22,0.59,12.5
1038,3.35,0.56,9.2
1039,3.24,0.77,12.6
1040,3.33,0.83,11.1
1041,3.58,0.67,10.2
1042,3.38,0.64,9.8
1043,3.33,0.83,11.1
1044,3.29,0.81,10.9
1045,3.36,0.62,12.2
1046,3.32,0.58,11.4
1047,3.31,0.62,10.7
1048,3.49,0.64,10.4
1049,3.27,0.78,10.9
1050,3.27,0.77,10.8
1051,3.49,0.64,10.4
1052,3.03,1.34,9.2
1053,3.56,0.55,12.9
1054,3.38,0.77,12.7
1055,3.13,0.62,9.1
1056,3.13,0.62,9.1
1057,3.21,0.59,12.1
1058,3.15,0.57,9.1
1059,3.19,0.76,11.6
1060,3.21,0.59,12.1
1061,3.14,0.7,9.9
1062,3.21,0.69,12.5
1063,3.3,0.64,11.4
1064,3.22,0.63,11.8
1065,3.28,0.57,11.8
1066,3.29,0.6,10.2
1067,3.4,0.72,12.5
1068,3.02,0.83,10.9
1069,3.02,0.83,10.9
1070,3.31,0.62,10.8
1071,3.18,0.89,11.1
1072,3.2,0.58,9.2
1073,3.4,0.58,9.5
1074,3.31,0.58,10.7
1075,3.2,0.58,9.2
1076,3.44,0.86,10.2
1077,3.15,0.73,11.4
1078,3.27,0.58,11
1079,3.27,0.58,11
1080,3.01,0.51,12.3
1081,3.16,0.51,11.8
1082,3.01,0.51,12.3
1083,3.42,0.59,9.5
1084,3.33,0.77,12
1085,3.42,0.59,9.5
1086,3.12,0.49,9.6
1087,3.38,0.66,11.6
1088,3.29,0.69,11.2
1089,3.02,0.76,9.9
1090,3.02,0.76,9.9
1091,2.98,0.63,11.8
1092,3.35,0.6,11.4
1093,3.43,0.59,11.5
1094,3.33,0.86,12
1095,3.35,0.49,10.8
1096,3.15,0.5,10.5
1097,3.35,0.49,10.8
1098,3.2,0.52,9.4
1099,3.15,0.81,12.5
1100,3.2,0.52,9.4
1101,3.11,0.78,12.4
1102,3.35,0.63,12
1103,3.45,0.54,11.2
1104,3.35,0.63,12
1105,3.28,0.66,12.4
1106,3.41,0.6,12.8
1107,3.21,0.54,12.3
1108,3.27,0.85,11.7
1109,3.36,0.49,9.5
1110,3.17,0.76,10.8
1111,3.25,0.64,10
1112,3.78,0.64,12.3
1113,3.29,0.71,11
1114,3.12,0.59,9.5
1115,3.49,0.66,13.6
1116,3.38,0.6,11.3
1117,3.38,0.6,11.3
1118,3.38,0.6,11.3
1119,3.3,0.53,13.3
1120,3.52,0.58,12.9
1121,3.2,0.72,13.1
1122,3.44,0.55,12.3
1123,3.45,0.48,12.3
1124,3.12,0.65,11.2
1125,3.62,0.62,11.5
1126,3.14,0.59,11.3
1127,3.39,0.54,13.5
1128,3.51,0.6,11.5
1129,3.22,0.68,10
1130,3.21,0.69,10.5
1131,3.18,0.63,10.4
1132,3.32,0.44,9.5
1133,3.38,0.88,13.6
1134,3.37,0.68,11.2
1135,3.3,0.74,11.8
1136,3.38,0.6,11.9
1137,3.22,0.76,11.4
1138,3.22,0.76,11.4
1139,3.14,0.58,9.1
1140,3.34,0.64,9.5
1141,3.41,0.65,9.5
1142,3.27,0.85,11
1143,3.3,0.65,11.4
1144,3.61,0.82,10
1145,3.43,0.62,10.1
1146,3.53,0.81,10.4
1147,3.28,0.87,9.8
1148,3.21,0.49,11.8
1149,3.39,0.66,11.6
1150,3.23,0.52,12
1151,3.3,0.76,12.8
1152,3.46,0.65,12.5
1153,3.15,0.53,9.8
1154,3.23,0.66,11.1
1155,3.59,0.68,11.4
1156,3.15,0.53,9.8
1157,3.33,0.76,11.8
1158,3.46,0.87,12.9
1159,3.42,1.16,10.6
1160,3.16,0.67,10.8
1161,3.14,0.72,11.1
1162,3.21,0.75,10.2
1163,3.14,0.71,11.8
1164,3.29,0.67,10
1165,3.29,0.67,10
1166,3.01,1.1,9.4
1167,2.94,0.98,10.2
1168,3.32,0.88,12.4
1169,3.21,0.56,12
1170,3.32,0.62,11.5
1171,3.2,0.67,10.5
1172,3.42,0.68,10.8
1173,3.27,0.74,12.3
1174,3.46,0.62,9.5
1175,3.46,0.62,9.5
1176,3.61,0.7,11.5
1177,3.58,0.5,11.2
1178,3.35,0.66,12.7
1179,3.68,0.73,11.4
1180,3.27,0.81,11
1181,3.27,0.81,11
1182,3.19,0.46,11.4
1183,3.38,0.86,10.5
1184,3.29,0.6,9.3
1185,3.36,0.7,10.9
1186,3.33,0.46,11.9
1187,3.52,0.5,12.2
1188,3.33,0.46,11.9
1189,3.36,0.7,10.9
1190,3.3,0.44,9.6
1191,3.28,0.57,12.5
1192,3.56,0.51,10.8
1193,3.52,0.8,12.4
1194,3.56,0.51,10.8
1195,3.22,0.59,9.5
1196,3.52,0.6,9.5
1197,3.21,0.58,9.5
1198,3.16,0.54,9.8
1199,3.15,0.79,10.9
